[     593ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/0k5d_next_dist_1qmvpb9._.js:2477
[     600ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/0k5d_next_dist_1qmvpb9._.js:2477
[   38113ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=na4936YM_-DwQN6rzA_3v' failed:  @ http://localhost:3000/_next/static/chunks/0k5d_next_dist_client_1z1on1h._.js:13422
[   39121ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=na4936YM_-DwQN6rzA_3v' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0k5d_next_dist_client_1z1on1h._.js:13422
[   40123ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=na4936YM_-DwQN6rzA_3v' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0k5d_next_dist_client_1z1on1h._.js:13422
[   41125ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=na4936YM_-DwQN6rzA_3v' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0k5d_next_dist_client_1z1on1h._.js:13422
[   42127ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=na4936YM_-DwQN6rzA_3v' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0k5d_next_dist_client_1z1on1h._.js:13422
[   43130ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=na4936YM_-DwQN6rzA_3v' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0k5d_next_dist_client_1z1on1h._.js:13422
[   48133ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=na4936YM_-DwQN6rzA_3v' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0k5d_next_dist_client_1z1on1h._.js:13422
[   53138ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=na4936YM_-DwQN6rzA_3v' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0k5d_next_dist_client_1z1on1h._.js:13422
[   58160ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=na4936YM_-DwQN6rzA_3v' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0k5d_next_dist_client_1z1on1h._.js:13422
[   63205ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=na4936YM_-DwQN6rzA_3v' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0k5d_next_dist_client_1z1on1h._.js:13422
[   68248ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=na4936YM_-DwQN6rzA_3v' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0k5d_next_dist_client_1z1on1h._.js:13422
[   73304ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=na4936YM_-DwQN6rzA_3v' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0k5d_next_dist_client_1z1on1h._.js:13422
[   78573ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=na4936YM_-DwQN6rzA_3v' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/0k5d_next_dist_client_1z1on1h._.js:13422
[33476960ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/0k5d_next_dist_1qmvpb9._.js:2477
[33477000ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/0k5d_next_dist_1qmvpb9._.js:2477
